name,address,phone_numbers,websites
University of Southern California Gould School of Law - Immigration Clinic,"699 Exposition Blvd, Los Angeles, CA 90089",(213) 821-5987,http://gould.usc.edu 	nfrenzen@law.usc.edu
"UURISE - Unitarian Universalist Refugee and Immigrant Services and Education, Inc.","1600 Buena Vista Dr, Vista, CA 92081",(760) 477-7537,http://www.uurise.org 	appts@uurise.org
Vital Immigrant Defense Advocacy and Services (VIDAS),"576 B Street, Suite 1C, Santa Rosa, CA 95401",(707) 523-1740,http://vidaslegal.org 
"Western State College of Law, Immigration Clinic","1 Banting, Irvine, CA 92618",(714) 459-1157,http://www.wsulaw.edu/academics-and-programs/legal-clinic.aspx 	srivera@wsulaw.edu
World Relief (Garden Grove/Southern California Office),"13121 Brookhurst Street, Suite G and H, Garden Grove, CA 92843",(714) 210-4730,http://www.worldreliefgardengrove.org 	gpeterson@worldrelief.org
World Relief (Sacramento Office),"4616 Roseville Road, Suite 107, North Highlands, CA 95660",(916) 978-2650,http://www.worldreliefsacramento.org 	sgreed@wr.org
Bethany Immigration Services,"101 W Main St, Suite 101D, Frisco, CO 80443",(970) 368-2373,http://www.bethanyimmigration.org 	admin@bethanyimmigration.org
Catholic Charities of Central Colorado - Family Immigration Services,"228 N. Cascade Ave, Colorado Springs, CO 80903",(719) 866-6515,http://www.ccharitiescs.org 	info@ccharitiescc.org
Catholic Charities of Denver - Immigration Services (Denver Office),"4045 Pecos St, Denver, CO 80211",(303) 742-4971,http://www.ccdenver.org 
Catholic Charities of Denver - Immigration Services (Glenwood Springs Office),"1004 Grand Ave, Glenwood Springs, CO 81601",(303) 742-4971,http://www.ccdenver.org 
Catholic Charities of Denver - Immigration Services (Greeley Office),"1442 N. 11th Ave., Greeley, CO 80631",(303) 742-4971,http://www.ccdenver.org 
Catholic Charities of Pueblo - Immigration Service Office,"429 W. 10th Street, Suite 101, Pueblo, CO 81003",(719) 543-1741,http://www.pueblocatholiccharities.org 	fryder@pueblocharities.org
City of Littleton Immigrant Resources Center,"6014 S. Datura St, Littleton, CO 80120",(303) 795-3968,http://www.littletonimmigrants.org 	pmcshiras@littletongov.org
Colorado Legal Services (Colorado Springs Office),"617 S. Nevada Ave, Colorado Springs, CO 80903",(719) 471-0380,http://www.coloradolegalservices.org 
Colorado Legal Services (Denver Office),"1905 Sherman St., Suite 400, Denver, CO 80203",(303) 866-9366,http://www.coloradolegalservices.org 
Colorado School of Law - Clinical Program,"404 UCB, Wolf Law Building, Boulder, CO 80309",(303) 492-8126,http://www.colorado.edu/law/clinics/legalaid/clinic.htm 	norman.aaronson@colorado.edu
Hispanic Affairs Project,"300 N. Cascade Ave., Suite C-4, Montrose, CO 81401",(970) 249-4115,http://www.hapgj.org 	info@hapgj.org
Immigrant Legal Center of Boulder County,"948 North St, Suite 8, Boulder, CO 80304",(303) 444-1522,http://www.boulderayuda.org 	laurel@boulderayuda.org
Lutheran Family Services Rocky Mountains (Colorado Springs Office),"132 E Las Animas, Colorado Springs, CO 80903",(719) 227-8899,http://www.lfsrm.org/refugee-asylee 
Lutheran Family Services Rocky Mountains - Immigration Legal Services (Denver Office),"1600 Downing St, Suite 600, Denver, CO 80218",(303) 980-5400,http://www.lfsrm.org 	info@lfsrm.org
Mi Gente - VAWA Legal Solutions,"P.O. Box 18975, Denver, CO 80218",(303) 860-0660,http://www.denvervictims.org 	admin@denvervictims.org
Rocky Mountain Immigrant Advocacy Network (RMIAN),"3489 W. 72nd Ave, Suite 211, Westminster, CO 80030",(303) 433-2812,http://www.rmian.org 
San Luis Valley Immigrant Resource Center,"225 6th St, Suite B, Alamosa, CO 81101",(719) 587-3225,http://www.slvirc.org 	irc@slvirc.org
Apostle Immigrant Services,"81 Saltonstall Ave., New Haven, CT 06513",(203) 752-9068,http://www.apostleimmigrantservices.org 	ais.fairhaven@gmail.com
"Catholic Charities Migration, Refugee, and Immigration Services","35 Groton Street, Hartford, CT 06106",(860) 297-7800,http://www.ccaoh.org 	pagnew@ccaoh.org
Catholic Charities of Norwich (New London Office),"28 Huntington St, New London, CT 06320",(860) 443-5328,http://ccfsn.org 	catholiccharities@ccfsn.org
Catholic Charities of the Diocese of Bridgeport,"238 Jewett Ave, The Catholic Center, Bridgeport, CT 06606",(203) 416-1311 ,http://www.ccfairfield.org 	aarevalo@ccfc-ct.org
Center for Children's Advocacy,"65 Elizabeth Street, Hartford, CT 06105",(860) 570-5327,http://www.kidscounsel.org/our-work/immigration/ 	ecolon@kidscounsel.org
Center for Latino Progress,"95 Park St, Hartford, CT 06106",(860) 247-3227,http://www.ctprf.org 	LatinoProgress@ctprf.org
Connecticut Legal Services (Bridgeport Office),"211 State St., Bridgeport, CT 06604",(203) 336-3851,http://www.connlegalservices.org 
Connecticut Legal Services (New Britain Office),"16 Main St., 2nd Floor, New Britain, CT 06051",(860) 225-8678,http://www.connlegalservices.org 	jlewis@connlegalservices.org
Connecticut Legal Services (New London Office),"153 Williams St., New London, CT 06320",(860) 447-0323,http://www.connlegalservices.org 	nplanell@connlegalservices.org
Connecticut Legal Services (Stamford Office),"20 Summer St., Stamford, CT 06901",(203) 348-9216 ext. 0,http://www.connlegalservices.org 	mzucco@connlegalservices.org
Connecticut Legal Services (Waterbury Office),"85 Central Ave., Waterbury, CT 06702",(203) 756-8074,http://www.connlegalservcies.org 
Connecticut Legal Services (Willimantic Office),"872 Main Street, Willimantic, CT 06226",(860) 456-1761,http://www.connlegalservices.org 
Greater Hartford Legal Aid,"999 Asylum Ave., 3rd Floor, Hartford, CT 06105",(860) 541-5000,http://www.ghla.org 	ghla@ghla.org
Hartford Public Library - The American Place,"500 Main Street, Hartford, CT 06103",(860) 695-6337,http://www.hplct.org/library-services/immigration-citizenship 	naficy@hplct.org
"International Institute of Connecticut, Inc. (Bridgeport Office)","670 Clinton Ave, Bridgeport, CT 06605",(203) 336-0141,http://www.iiconn.org 	akinsman@iiconn.org
"International Institute of Connecticut, Inc. (Hartford Office)","175 Main St, Hartford, CT 06106",(860) 692-3085,http://www.iiconn.org 	akinsman@iiconn.org
"International Institute of Connecticut, Inc. (Stamford Office)","34 Woodland Ave, Stamford, CT 06902",(203) 965-7190,http://www.iiconn.org 	akinsman@iiconn.org
IRIS - Integrated Refugee & Immigrant Services,"235 Nicoll St, 2nd Floor, New Haven, CT 06511",(203) 562-2769,http://www.irisct.org 	immigration@irisct.org
Jewish Family Service of Greenwich,"1 Holly Hill Ln, Greenwich, CT 06830",(203) 622-1881,http://www.jfsgreenwich.org 	tn@jfsgreenwich.org
"New Haven Legal Assistance Association, Inc.","426 State St, New Haven, CT 06510",(203) 946-4811,http://www.nhlegal.org 	legalaid@nhlegal.org
University of Connecticut School of Law - Asylum and Human Rights Clinic,"65 Elizabeth St, Hartford, CT 06105",(860) 570-5165,http://www.law.uconn.edu/academics/clinical-education/asylum-human-rights-clinic 	carmen.arroyo@uconn.edu
Yale Law School - Jerome N. Frank Legal Services Organization,"133 Wall St, Ruttenberg Hall, New Haven, CT 06511",(203) 432-4800,http://www.law.yale.edu/academics/JeromeNFrankLSO.htm 
"Catholic Charities Inc., Diocese of Wilmington","2601 W. 4th St, Wilmington, DE 19805",(302) 655-9624,http://www.cdow.org/immigration.html 	immigration@ccwilm.org
Community Legal Aid Society (Dover Office),"840 Walker Rd, Dover, DE 19904",(302) 674-8500,http://www.declasi.org 	clasincc@declasi.org
Community Legal Aid Society (Georgetown Office),"20151 Office Circle, Georgetown Professional Park, Georgetown, DE 19904",(302) 856-0038,http://www.declasi.org 	clasincc@declasi.org
Community Legal Aid Society (Wilmington Office),"100 West 10th Street, Suite 801, Wilmington, DE 19801",(302) 575-0660,http://www.declasi.org 	clasincc@declasi.org
Delaware Alliance for Community Advancement,"408 East 8th Street, Wilmington, DE 19801",(302) 656-8200,http://www.delaca.org 	vcatalan@delaca.org
"La Esperanza Community Center, Inc.","216 North Race St., Georgetown, DE 19947",(302) 854-9262,http://www.laesperanza.org 	rvelazquez@laesperanza.org
Abundant Living Ministries - The ALM Triumph Center,"14331 S.W. 72 St, Pembroke Pines, FL 33330",(954) 680-2500 ext. 24,http://www.almis.org 	immigration@alm.org
American Friends Service Committee - Immigrant Services,"1175 NE 125th Street, Suite 417, North Miami, FL 33161",(305) 600-5441,http://afsc.org/office/miami-fl 	lperez-reynozo@afsc.org
Americans for Immigrant Justice,"3000 Biscayne Blvd, Suite 400, Miami, FL 33137-4129",(305) 573-1106,http://www.aijustice.org 	info@aijustice.org
"Amigos en Cristo, Inc. (Bonita Springs Office)","25999 Old 41 Rd, Bonita Springs, FL 34135",(239) 992-4348,http://www.amigoscenter.org 
"Amigos en Cristo, Inc. (Fort Myers Office)","3634 Central Ave, Fort Myers, FL 33901",(239) 278-5400,http://www.amigoscenter.org 
CASA (Miami Office),"10300 Sunset Drive, Suite 387, Miami, FL 33173",(305) 463-7468,http://www.casa-us.org 	info@casa-us.org
Catholic Charities Bureau Jacksonville - Immigration Services,"134 E. Church St., Suite R-03, Jacksonville, FL 32202",(904) 354-5904,http://www.ccbjax.org 	rgraterol@ccbjax.org
Catholic Charities Legal Services of Miami (Broward Office),"6081 SW 21 St, Suite 220, Miramar, FL 33023",(954) 306-9537,http://www.cclsmiami.org 	mmezadieum@cclsmiami.org
Catholic Charities Legal Services of Miami (Doral Office),"7855 NW 12th Street, Suite 114, Miami, FL 33126",(305) 887-8333,http://www.cclsmiami.org 	mmezadieu@cclsmiami.org
Catholic Charities Legal Services of Miami (Miami Office),"28 W. Flagler St., 10th Floor, Miami, FL 33130",(305) 373-1073,http://www.cclsmiami.org 	mmezadieu@cclsmiami.org
Catholic Charities of Central Florida - Immigration & Refugee Services (Orlando Office),"1771 N. Semoran Blvd, Suite C, Orlando, FL 32807",(407) 658-0110,http://www.cflcc.org 	legalservices@cflcc.org
Catholic Charities of DeSoto County,"1210 E. Oak St, Arcadia, FL 34266",(863) 494-1068,http://www.catholiccharitiesdov.org 
Catholic Charities of Manatee County,"1219 16th St W., Bradenton, FL 34205",(941) 747-1467,http://www.catholiccharitiesdov.org 
Catholic Charities of Northwest Florida - Immigration & Refugee Services (Pensacola Office),"1 North C Street, Pensacola, FL 32502",(850) 436-6420,http://www.ccnwfl.org 	immigration@cc.ptdiocese.org
Catholic Charities of Northwest Florida - Immigration Services (Tallahassee Office),"1380 Blountstown Hwy, Tallahassee , FL 32304",(850) 222-2180,http://ccnwfl.org/ 	immtall@cc.ptdiocese.org
Catholic Charities of Palm Beach - Immigration Services (Riviera Beach Office),"100 West 20th St, Riviera Beach, FL 33404",(561) 345-2003,http://www.catholiccharitiesdpb.org 
Catholic Charities of Palm Beach - Immigration Services (Stuart Office),"St. Joseph's Catholic Church, 1200 SE 10th St, Stuart, FL 34996",(772) 463-0445,http://www.catholiccharitiesdpb.org 
Catholic Charities of St. Petersburg - Immigration Services (St. Petersburg Office),"1213 16th St. N., St. Petersburg, FL 33705",(727) 893-1313,http://home.catholicweb.com/ccdosp/index.cfm/NewsItem?ID=293621&From=News 	immigration@ccdosp.org
Catholic Charities of St. Petersburg - Immigration Services (Tampa Office),"2021 E. Busch Blvd, Tampa, FL 33612",(813) 631-4370,http://home.catholicweb.com/ccdosp/index.cfm/NewsItem?ID=293621&From=News 	immigration@ccdosp.org
"Center for Immigrant Advancement, Inc.","801 SW 8 St, Suite B, Miami, FL 33130",(305) 416-7902,http://www.cimausa.org 	info@cimausa.org
Church World Service - Immigration and Refugee Program (Miami Office),"1924 N.W. 84th Ave, Doral, FL 33126",(305) 774-6770,http://www.cwsglobal.org/our-work/refugees-and-immigrants 
Cuban American Bar Association Pro Bono Project,"2400 South Dixie Highway, Second Floor, Miami, FL 33133",(305) 646-0046,http://www.cabaprobonoproject.com 	lesley@cabaprobono.com
Florida Coastal School of Law - Immigrant and Human Rights Clinic,"8787 Baypine Rd., Suite 255, Jacksonville, FL 32256",(904) 680-7782,http://www.fcsl.edu 	ecurran@fcsl.edu
Florida International University College of Law - Carlos A. Costa Immigration and Human Rights Clinic,"11200 S.W. 8th St, Rafael Diaz-Balart 1010, Miami, FL 33199",(305) 348-7541,https://law.fiu.edu/academics/learning/carlos-costa-immigration-human-rights-clinic/ 	ledesmaz@fiu.edu
Florida State University - Center for the Advancement of Human Rights (Jefferson St. Office),"426 W. Jefferson St., Tallahassee, FL 32301",(850) 644-4551,http://www.cahr.fsu.edu 	vllovera@admin.fsu.edu
"Gulfcoast Legal Services, Inc. (Bradenton Office)","430 12th St W., Bradenton, FL 34205",(941) 746-6151,http://www.gulfcoastlegal.org/offices/bradenton 
"Gulfcoast Legal Services, Inc. (St. Petersburg Office)","501 First Ave. N, Suite 420, St. Petersburg, FL 33701",(727) 821-0726,http://www.gulfcoastlegal.org/offices/st-petersburg 
Heart of Florida Legal Aid Society (Bartow Office),"550 E. Davidson St, Bartow, FL 33830",(863) 519-5663,http://www.hofla.org 	intake@hofla.org
Heart of Florida Legal Aid Society (Highlands County Courthouse),"430 S. Commerce Ave, Sebring, FL 33870",(863) 402-6983,http://www.hofla.org 	mcolon@hofla.org
Heart of Florida Legal Aid Society (Lakeland Office),"1021 Lakeland Hills Blvd, Lakeland, FL 33805",(863) 519-5663,http://www.hofla.org 	intake@hofla.org
Hispanic Services Council,"2902 N. Armenia Avenue, Suite 201, Tampa, FL 33607",(813) 936-7700,http://www.hispanicservicescouncil.org 	gloria.avila@hispanicservicescouncil.org
International Rescue Committee (Miami Office),"730 N.W. 107th Ave, Suite 100, Miami, FL 33172",(305) 640-9881,http://www.rescue.org 	Miami@theIRC.org
Jacksonville Area Legal Aid - Refugee Immigration Project (Downtown Office),"126 W. Adams St., 2nd Floor, Jacksonville, FL 32202",(904) 356-8371 ext. 334,http://www.jaxlegalaid.org 	Refugee.immigration@jaxlegalaid.org
Jewish Community Services of South Florida,"18999 Biscayne Blvd, Suite 200, Aventura, FL 33180",(305) 917-2126,http://jcsfl.org 	hpanitch@jcsfl.org
Legal Aid Service of Broward County,"491 N. State Rd 7, Plantation, FL 33317",(954) 765-8950,http://www.legalaid.org 
Legal Aid Service of Collier County (Immokalee Office),"1400 N. 15th St., Suite 201, Immokalee, FL 34142",(239) 657-7442,http://www.legalaid.org/collier 	mkelleher@legalaid.org
Legal Aid Service of Collier County (Naples Office),"4436 E. Tamiami Trl., Naples, FL 34112",(239) 775-4555,http://www.legalaid.org/collier 
Legal Aid Society of the Orange County Bar Association,"100 E. Robinson St, Orlando, FL 32801",(407) 841-8310,http://www.legalaidocba.org 	info@legalaidocba.org
"Legal Aid Society Palm Beach County, Inc.","423 Fern St, Suite 200, West Palm Beach, FL 33401",(561) 655-8944 ext. 233,http://www.legalaidpbc.org 	info@legalaidpbc.org
"Lutheran Services Florida, Inc. (Miami Office)","8532 SW 8th Street, Suite 270, Miami, FL 33144",(813) 875-1408,http://www.lsfnet.org 	afraguela@lsfnet.org
"Lutheran Services Florida, Inc. (St. Petersburg Office)","7901 4th St. N., Suite 308, St. Petersburg, FL 33702",(727) 563-9400,http://www.lsfnet.org 
"Lutheran Services Florida, Inc. (Tampa Office)","3641 W. Waters Ave., Tampa, FL 33614",(813) 341-2867,http://www.lsfnet.org 	lmesias@lsfnet.org
"Mision Latina Cristiana, Inc. - Immigration Services Center","4050 Colonial Blvd, Fort Myers, FL 33966",(239) 689-8760 ext. 3,http://www.immigrationservicescenter.org 	sos@mision-latina.org
Northwest Florida Legal Services,"701 S. J St, Pensacola, FL 32502",(850) 432-2336,http://www.nwfls.org 	intake@nwfls.org
St. Thomas University School of Law - Immigration Clinic,"16401 N.W. 37th Ave, Miami Gardens, FL 33054",(305) 623-2309,"http://web.stu.edu/law/JDAdmissions/ProspectiveStudents/Programs/Clinics,ExternshipsInternships/ClinicalPlacements/Immigration/tabid/876/Default.aspx 	ylaroche@stu.edu"
"St. Thomas University, School of Law - Human Rights Institute (Broward County Office)","12399 SW 53rd Street, 2nd Floor, Cooper City, FL 33330",(954) 322-6502,http://www.stu.edu/humanrightsinstitute 	humanrightsinstitute@stu.edu
"St. Thomas University, School of Law - Human Rights Institute (Miami Office)","2650 S.W. 27th Ave, 3rd Floor, Suite 304, Miami, FL 33133",(866) 491-6737,http://www.stu.edu/humanrightsinstitute 	humanrightsinstitute@stu.edu
"St. Thomas University, School of Law - Human Rights Institute (Palm Beach Office)","2112 S. Congress Ave, Suite 201 & 202, Palm Springs, FL 33406",(561) 472-2346,http://www.stu.edu/humanrightsinstitute 	humanrightsinstitute@stu.edu
"United By Faith Legal Ministry, Inc","6220 S. Orange Blossom Trail, Suite 186, Orlando, FL 32809",(407) 721-4557,http://www.ubflegal.org 	legal@ubflegal.org
UNO Immigration Ministry (Habana Avenue Office),"6830 N. Habana Avenue,  , Tampa, FL 33614",(813) 874-2802,http://unoimm.org 	bill@unoimm.org
UNO Immigration Ministry (N. MacDill Avenue Office),"2700 N. MacDill Ave, Suite 218, Tampa, FL 33607",(813) 874-2802,http://unoimm.org 	bill@unoimm.org
"Youth Co-Op, Inc.","3525 N.W. 7th St., Miami, FL 33125",(305) 643-6730,http://www.ycoop.org 	aramirez@ycoop.org
"Access To Law, Inc.","2415 Beaver Ruin Road NW, Norcross, GA 30071",(770) 685-1499,http://www.accesstolawfoundation.org 	help@accesstolawfoundation.org
Asian Americans Advancing Justice - Atlanta,"6040 Unity Drive, Suite E, Norcross, GA 30071",(404) 585-8446,https://advancingjustice-atlanta.org 	immigration@advancingjustice-atlanta.org
"Bridging the Gap Project, Inc.","2100 Parklake Dr, Suite H, Atlanta, GA 30345",(770) 938-1112,http://btg-online.org 	info@btg-online.org
Catholic Charities of Atlanta,"2305 Parklake Dr, NE, Suite 150, Atlanta, GA 30345",(678) 222-3920,http://www.catholiccharitiesatlanta.org 
"Center for Pan Asian Community Services, Inc.","3510 Shallowford Rd N.E., Atlanta, GA 30341",(770) 936-0969,http://www.cpacs.org 	cpacs@cpacs.org
Georgia Asylum & Immigration Network,"PO Box 78425, Atlanta, GA 30357",(404) 572-2658,http://www.georgiaasylum.org 	info@georgiaasylum.org
Immigrant Connection at Bold Beginnings International Church,"1080 Eagles Landing Parkway, Stockbridge, GA 30281",(404) 907-1927,http://www.boldbeginningschurch.org 	pastordan@mybbic.com
Immigrant Hope - Atlanta,"1850 Skyland Terrace NE, Atlanta, GA 30319",(404) 500-8097,http://www.hopeatl.org 	tim.isaacson@immigranthope.org
International Rescue Committee (Atlanta Office),"2305 Parklake Dr, Suite 100, Atlanta, GA 30345",(404) 292-7731,http://www.rescue.org/Atlanta 	immigration@rescue.org
Kids in Need of Defense (Atlanta Office),"600 Peachtree Street, NE, Atlanta, GA 30308",(404) 885-3629,https://www.supportkind.org 	citurralde@supportkind.org
Latin American Association (Atlanta Office),"2750 Buford Hwy, Atlanta, GA 30324",(404) 471-1889,http://www.thelaa.org 
"Lutheran Services of Georgia, Inc.","100 Edgewood Ave, Ste 1800, Atlanta, GA 30303",(678) 686-9625,http://www.lsga.org/ 	immigrationservices@lsga.org
New American Pathways,"2300 Henderson Mill Rd NE, Suite 200, Atlanta, GA 30345",(404) 299-6099 ext. 225,http://www.newamericanpathways.org 	l.ramchandani@newamericanpathways.org
State Bar of Georgia Military Legal Assistance Program,"104 Marietta St N.W., Suite 100, Atlanta, GA 30303",(404) 427-8765,http://www.gabar.org 	normanz@gabar.org
Tapestri Inc.,"3939 Lavista Rd, Suite E, PMB 362, Tucker, GA 30084",(404) 299-2185,http://www.tapestri.org 	Tapestri@Tapestri.org
World Relief (Atlanta Office),"655 Village Square Dr, Stone Mountain, GA 30083",(404) 294-4352,http://worldreliefatlanta.org/ 	WRAtlanta@wr.org
Catholic Charities Hawaii (Honolulu Office),"1822 Keeaumoku St, Honolulu, HI 96822",(808) 527-4711,http://www.catholiccharitieshawaii.org 	mbantay@catholiccharitieshawaii.org
Catholic Charities Hawaii (Island of Hawai'i Office),"62 Kinoole Street, Hilo, HI 96720",(808) 961-7030,http://www.catholiccharitieshawaii.org 	lspencer@catholiccharitieshawaii.org
Hawaii Immigrant Justice Center at the Legal Aid Society of Hawaii,"PO BOX 3950, Honolulu, HI 96812",(808) 536-8826,http://www.legalaidhawaii.org/immigrant-justice-center.html 
Catholic Charities of Idaho - Nampa Family Strengthening Center,"7255 Franklyn Rd, Boise, ID 83709",(208) 466-9926,http://www.ccidaho.org 	jmendez@ccidaho.org
International Rescue Committee (Boise Office),"7188 W. Potomac Dr., Boise, ID 83704",(208) 344-1792,http://www.rescue.org 	rabiou.manzo@rescue.org
"Jannus, Inc - Agency for New Americans","1614 W. Jefferson St, Boise, ID 83702",(208) 338-0033,http://www.jannus.org/program/agency-for-new-americans 	info@jannus.org
"La Posada, Inc","355 4th Ave W, PO Box 1962, Twin Falls, ID 83301",(208) 734-8700,laposadaministries@hotmail.com
University of Idaho College of Law Immigration Law Clinic,"875 Perimeter Dr, Mail Stop 2322, Moscow, ID 83844",(208) 885-6541,http://www.law.uidaho.edu 
World Relief Boise,"6702 Fairview Avenue, Boise, ID 83704",(208) 323-4964 ext. 120,http://boise.wr.org 	gnix@wr.org
Catholic Charities of Chicago - Immigration and Naturalization Services (Casa Esperanza),"1115 W. 23rd Ave, Melrose Park, IL 60160",(312) 427-7078,http://www.catholiccharities.net 
Catholic Charities of Chicago - Immigration and Naturalization Services (Chicago Office),"205 W. Monroe St., Chicago, IL 60606",(312) 427-7078,http://www.catholiccharities.net 
Catholic Charities of Chicago - Immigration and Naturalization Services (Maryville Academy),"1170 N. River Rd, Rectory, Des Plaines, IL 60016",(312) 427-7078,http://www.catholiccharities.net 
Catholic Charities of Chicago - Immigration and Naturalization Services (Waukegan Office),"671 S. Lewis, Waukegan, IL 60085",(847) 782-4225,http://www.catholiccharities.net 
Catholic Charities of Chicago - Immigration and Naturalization Services (West Region Office),"1400 S. Austin St., Cicero, IL 60804",(708) 329-4031,http://www.catholiccharities.net 
Catholic Charities of Rockford - Immigration & Refugee Services,"6116 Mulford Village Dr , Suite #8, Rockford, IL 61107",(815) 399-1709,http://www.rockforddiocese.org 
Centro de Información (Elgin Office),"28 N. Grove Ave, Suite 200, Elgin, IL 60120",(847) 695-9050,http://www.centrodeInformacion.org 
Centro Romero,"6216 N. Clark St, Chicago, IL 60660",(773) 508-5300,http://www.centroromero.org 	info@centroromero.org
Chicago Legal Clinic,"1914 S. Ashland Ave, Chicago, IL 60608",(312) 226-2669,http://www.clclaw.org 
Chinese American Service League,"2141 S. Tan Ct., Chicago, IL 60616",(312) 791-0418,http://www.caslservice.org 	cis@caslservice.org
Chinese Mutual Aid Association,"1016 W. Argyle St, Chicago, IL 60640",(773) 784-2900,http://www.chinesemutualaid.org 	info@chinesemutualaid.org
Council on American-Islamic Relations (Chicago Office),"17 North State Street, Suite 1500, Chicago, IL 60602",(312) 212-1520,http://www.cairchicago.org 	civilrightsintern@cairchicago.org
DePaul University College of Law - Asylum and Immigration Clinic,"1 E. Jackson, Chicago, IL 60604",(312) 362-8294,http://law.depaul.edu/academics/experiential-learning/legal-clinics/asylum-immigration/Pages/about.aspx 	salbiol@depaul.edu
Erie Neighborhood House,"1347 W Erie St, Chicago, IL 60642",(312) 666-3430,http://www.eriehouse.org 	vrobles@eriehouse.org
Esperanza Legal Assistance Center,"335 5th Avenue, Suite 208, Moline, IL 61265",(309) 732-0047,http://esperanzaqc.com/legal-assistance/ 	legalassistance@esperanzaqc.com
Family Focus (Aurora Center),"550 Second Ave, Aurora, IL 60505",(630) 256-7017,http://www.family-focus.org 	ffis@family-focus.org
Frida Kahlo Community Organization,"1244 W. 18th St, 2nd Floor, Chicago, IL 60608",(312) 421-7599 ,fkco1@netzero.com
Hanul Family Alliance (Chicago Office),"5008 N. Kedzie Ave, Chicago, IL 60625",(773) 478-8851,http://www.hanulusa.org 
Hanul Family Alliance (Lake County Office),"240 Parkway Dr, Suite 150, Lincolnshire, IL 60069",(847) 439-5195 ext. 206,http://www.hanulusa.org 	ehan@hanulusa.org
Hanul Family Alliance (Suburban Office),"1166 S. Elmhurst Rd, Mt Prospect, IL 60056",(847) 439-5195,http://www.hanulusa.org 	allisonjeong@hanulusa.org
HIAS Chicago,"216 W. Jackson St., Suite 700, Chicago, IL 60606",(312) 357-4666,http://www.hiaschicago.org 
Hispanic American Community Education Services,"820 W Greenwood Ave, Waukegan, IL 60087",(847) 244-0300,https://www.haces.org 	info@haces.org
Indo-American Center,"6328 N. California Ave., Chicago, IL 60659",(773) 973-4444 ext. 110,http://www.indoamerican.org 	info@indoamerican.org
Instituto Del Progreso Latino,"2555 S. Blue Island Ave., Chicago, IL 60608",(773) 890-0055,http://www.institutochicago.org 	a.martinez@idpl.org
Justice For Our Neighbors (Aurora Clinic),"Fourth Street United Methodist Church, 551 S 4th Street, Aurora, IL 60505",(773) 609-4401,http://nijfon.org 	appointments@nijfon.org
Justice For Our Neighbors (Chicago Clinic),"2120 N Mozart Street, Chicago, IL 60647",(773) 609-4401,http://nijfon.org 	appointments@nijfon.org
Justice For Our Neighbors (Rockford Clinic),"Court Street United Methodist Church, 215 N Court St, Rockford, IL 61103",(773) 609-4401,http://nijfon.org 	appointments@nijfon.org
Korean American Community Services,"4300 N. California Ave, Chicago, IL 60618",(847) 520-1999 ext. 102,http://www.kacschicago.org 	clee@kacschicago.org
Korean American Resource and Cultural Center,"6212 N. Lincoln Ave., Chicago, IL 60659",(773) 588-9158,http://www.chicagokrcc.org 	krcc@chicagokrcc.org
LAF - Immigration Project,"120 S. LaSalle St., Suite 900, Chicago, IL 60603",(312) 341-1070,http://www.lafchicago.org 
Latinos Progresando,"3047 W. Cermak Rd., Chicago, IL 60623",(773) 542-7077,http://www.latinospro.org 	legal@latinospro.org
Life Span Center for Legal Services and Advocacy,"70 E. Lake Street, Suite 700, Chicago, IL 60601",(312) 408-1210,http://www.life-span.org 	life-span@life-span.org
Mano a Mano Family Resource Center,"6 E. Main St, Round Lake Park, IL 60073",(847) 201-1521,http://www.manoamanofamilyresourcecenter.org 	egarcia@mamfrc.org
Mil Mujeres Legal Services,"310 S. Peoria St., Suite 305, Chicago, IL 60607",(312) 219-2031,http://www.milmujeres.org 	chicago@milmujeres.org
Muslim Women Resource Center,"6445 N. Western Ave., Suite 301, Chicago, IL 60645",(773) 764-1686,http://www.mwrcnfp.org 	sima@mwrcnfp.org
National Immigrant Justice Center,"208 S. La Salle St, Suite 1300, Chicago, IL 60604",(312) 660-1370,http://www.immigrantjustice.org 	immigrantlegaldefense@heartlandalliance.org
Northwestern School of Law - Bluhm Legal Clinic,"375 E. Chicago Ave, Chicago, IL 60611",(312) 503-8576,http://www.law.northwestern.edu/legalclinic 	legalclinic@law.northwestern.edu
Pan-African Association,"6163 N Broadway St., Chicago, IL 60660-2501",(773) 381-9723,http://www.panafricanassociation.org 	info@panafricanassociation.org
Polish American Association,"3834 N. Cicero Ave., Chicago, IL 60641",(773) 282-8206 ext. 340 or 342,http://www.polish.org 	grazyna@polish.org
Pui Tak Center,"2216 S Wentworth Ave, Chicago, IL 60616",(312) 328-1188,http://www.puitak.org 	sarahlau@puitak.org
RefugeeOne,"4753 N. Broadway, Suite 401, Chicago, IL 60640",(773) 989-5647,http://www.refugeeone.org 	omalski@refugeeone.org 
Resurrection Project,"1818 S Paulina, Chicago, IL 60608",(312) 666-1323,http://resurrectionproject.org 
The Immigration Project (Normal Office),"211 Landmark Drive, Suite B3A, Normal, IL 61761",(309) 829-8703 or (618) 452-7018,http://www.immigrationproject.org 	info@immigrationproject.org
The Young Center for Immigrant Children's Rights at the University of Chicago,"6020 S. University Ave., Chicago, IL 60637",(773) 702-9560,http://www.TheYoungCenter.org 	info@TheYoungCenter.org
United African Organization,"10 W 35th Street, Suite 4D9-1, Chicago, IL 60616",(312) 949-9980,http://uniteafricans.org 	services@uniteafricans.org
